date_seen,mean_rent,rent_high,rent_low,pct_vacant
2020-05-26,2877.289705882353,3232.3029411764705,2522.2764705882355,0.09404347826086906
2020-05-27,2869.664619164619,3241.135135135135,2498.1941031941033,0.09613043478260865
2020-05-28,2874.8157142857144,3235.077142857143,2514.554285714286,0.09547826086956555
2020-05-29,2864.4926470588234,3222.674369747899,2506.3109243697477,0.09869565217391366
2020-05-30,2855.907608695652,3206.0896739130435,2505.725543478261,0.09847826086956539
2020-05-31,2855.1146408839777,3200.3895027624308,2509.839779005525,0.09726086956521779
2020-06-01,2862.2394957983192,3206.1456582633054,2518.3333333333335,0.09730434782608659
2020-06-02,2841.476323119777,3177.434540389972,2505.5181058495823,0.09895652173913046
2020-06-03,2832.8695054945056,3164.947802197802,2500.7912087912086,0.10000000000000069
2020-06-04,2882.9344444444446,3271.331111111111,2494.5377777777776,0.10156521739130402
2020-06-05,2830.903743315508,3152.5,2509.307486631016,0.10134782608695701
2020-06-07,2837.4718498659518,3169.6327077747987,2505.3109919571048,0.10073913043478215
2020-06-08,2833.7300469483566,3172.2065727699533,2495.2535211267605,0.10030434782608709
2020-06-09,2845.516795865633,3193.015503875969,2498.0180878552974,0.1013043478260869
2020-06-10,2832.8012295081967,3177.6967213114754,2487.905737704918,0.1037826086956527
2020-06-11,2852.3921348314607,3206.0224719101125,2498.761797752809,0.10117391304347731
2020-06-12,2800.2631578947367,3130.206627680312,2470.3196881091617,0.10143478260869682
2020-06-13,2870.6161616161617,3277.309090909091,2463.9232323232322,0.10195652173913106
2020-06-14,2844.522972972973,3183.7,2505.345945945946,0.10073913043478215
2020-06-15,2832.756097560976,3169.1073170731706,2496.4048780487806,0.10060869565217437
2020-06-16,2853.8628808864264,3201.556786703601,2506.168975069252,0.09986956521739171
2020-06-17,2856.983425414365,3210.6436464088397,2503.3232044198894,0.10060869565217402
2020-06-18,2857.4116022099447,3212.3701657458564,2502.453038674033,0.10078260869565255
2020-06-19,2846.759009009009,3191.3198198198197,2502.198198198198,0.10273913043478257
2020-06-20,2857.7526455026455,3211.7936507936506,2503.7116402116403,0.10260869565217305
2020-06-21,2855.7213333333334,3210.1093333333333,2501.3333333333335,0.10208695652173873
2020-06-22,2852.2473118279568,3207.9489247311826,2496.5456989247314,0.10156521739130403
2020-06-23,2852.957219251337,3208.596256684492,2497.318181818182,0.101478260869565
2020-06-24,2845.4308035714284,3190.5870535714284,2500.2745535714284,0.10330434782608736
2020-06-25,2856.854712041885,3207.390052356021,2506.3193717277486,0.10300000000000084
2020-06-26,2846.1750663129974,3189.941644562334,2502.4084880636606,0.10195652173913039
2020-06-27,2849.5252659574467,3194.7313829787236,2504.31914893617,0.10139130434782599
2020-06-28,2830.8135802469137,3173.945679012346,2487.6814814814816,0.10282608695652133
2020-06-29,2848.563492063492,3188.846560846561,2508.2804232804233,0.10178260869565259
2020-06-30,2839.783244680851,3177.2074468085107,2502.3590425531916,0.10039130434782595
2020-07-01,2760.851669941061,3081.2062868369353,2440.4970530451865,0.10430434782608698
2020-07-02,2805.481818181818,3137.368831168831,2473.5948051948053,0.10326086956521806
2020-07-03,2800.7596899224804,3131.3565891472867,2470.1627906976746,0.1019999999999996
2020-07-04,2806.2755102040815,3141.9005102040815,2470.6505102040815,0.10221739130434797
2020-07-05,2813.0178571428573,3155.910714285714,2470.125,0.10221739130434797
2020-07-06,2812.7811704834608,3155.3409669211196,2470.2213740458014,0.10234782608695583
2020-07-07,2806.551637279597,3152.168765743073,2460.934508816121,0.10304347826086964
2020-07-08,2803.1116751269037,3148.040609137056,2458.1827411167515,0.10260869565217302
2020-07-09,2801.625313283208,3149.3959899749375,2453.8546365914785,0.10330434782608712
2020-07-10,2801.6645728643216,3149.359296482412,2453.969849246231,0.10282608695652137
2020-07-11,2814.0463659147867,3158.8696741854637,2469.22305764411,0.1025217391304353
2020-07-12,2810.8147208121827,3147.1116751269037,2474.5177664974617,0.10226086956521667
2020-07-13,2800.805412371134,3126.7474226804125,2474.8634020618556,0.10086956521739136
